threshold,median,mean,min,max,description
0.233055092,0.532188882,0.533243413,0.521666392,0.546476619,"Random forest - Depth 2, estimators: 110"
0.233055092,0.529319084,0.531732663,0.521666392,0.546476619,"Random forest - Depth 2, estimators: 120"
0.233055092,0.530216598,0.531532108,0.521666392,0.543478261,"Random forest - Depth 2, estimators: 130"
0.235058431,0.529319084,0.531732663,0.521666392,0.546476619,"Random forest - Depth 2, estimators: 140"
0.235058431,0.530216598,0.532031834,0.521666392,0.546476619,"Random forest - Depth 2, estimators: 150"
0.233055092,0.531895091,0.530757379,0.517698734,0.540629993,"Random forest - Depth 3, estimators: 100"
0.223038397,0.529320879,0.536297347,0.517226245,0.569538625,"Random forest - Depth 3, estimators: 130"
0.225709516,0.534177627,0.538722698,0.516817269,0.583756438,"Random forest - Depth 3, estimators: 120"
0.223706177,0.527656308,0.533867831,0.514966741,0.565234926,"Random forest - Depth 3, estimators: 110"
0.223038397,0.52938031,0.535293484,0.514478007,0.568082533,"Random forest - Depth 3, estimators: 150"
0.223706177,0.528963949,0.533158461,0.513962264,0.57404503,"Random forest - Depth 3, estimators: 140"
0.231051753,0.535838159,0.532969491,0.51309993,0.549998892,"Random forest - Depth 2, estimators: 100"
