threshold,median,mean,min,max,description
0.17963272120200333,0.5321888817689137,0.532743686946299,0.5216663917622941,0.5438253502769632,"Random forest - Depth 2, estimators: 100"
0.18030050083472454,0.5321888817689137,0.532743686946299,0.5216663917622941,0.5438253502769632,"Random forest - Depth 2, estimators: 110"
0.18096828046744573,0.5302165984625311,0.531532107678377,0.5216663917622941,0.5434782608695652,"Random forest - Depth 2, estimators: 120"
0.18363939899833054,0.5309348041185687,0.5333022611657415,0.5231143552311436,0.5497668435439781,"Random forest - Depth 2, estimators: 130"
0.18163606010016695,0.5286240893484438,0.5305432274258853,0.5216663917622941,0.541948404751046,"Random forest - Depth 2, estimators: 140"
0.18096828046744573,0.5286240893484438,0.5305432274258853,0.5216663917622941,0.541948404751046,"Random forest - Depth 2, estimators: 150"
0.18363939899833054,0.5378987651290414,0.5423538639116615,0.533627884143348,0.5671999381714198,"Random forest - Depth 3, estimators: 100"
0.18631051752921535,0.5419876422920483,0.5453933221181099,0.5351675371058346,0.5697091074934069,"Random forest - Depth 3, estimators: 110"
0.18631051752921535,0.5438679752692959,0.5465814197709266,0.5351675371058346,0.5697091074934069,"Random forest - Depth 3, estimators: 120"
0.18497495826377294,0.5394546068983561,0.5436540907081401,0.533627884143348,0.5697091074934069,"Random forest - Depth 3, estimators: 130"
0.18564273789649416,0.5402841833454499,0.5440050579360033,0.533627884143348,0.572336265884653,"Random forest - Depth 3, estimators: 140"
0.18631051752921535,0.5402841833454499,0.5443320905211002,0.533627884143348,0.572336265884653,"Random forest - Depth 3, estimators: 150"
