threshold,median,mean,min,max,description
0.5992490613266583,0.48282167732919934,0.4901216912004853,0.4780014914243102,0.5195202356737042,"MLPRegressor, hidden layers: (100,), solver: lbfgs"
0.2297872340425532,0.5010655085583393,0.5020370475994922,0.4887218045112782,0.5187607573149742,"MLPRegressor, hidden layers: (60, 60), solver: lbfgs"
0.03304130162703379,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.0,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: sgd"
0.0,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (60, 60), solver: sgd"
0.0,0.03647214854111406,0.03374003375282251,0.015471167369901548,0.04632152588555858,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: sgd"
0.5196495619524405,0.48997345037708545,0.49061262239235015,0.48717948717948717,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: adam"
0.5984981226533166,0.46934917216763955,0.47082928874310215,0.4517272652320884,0.4881609618451723,"MLPRegressor, hidden layers: (60, 60), solver: adam"
0.03304130162703379,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: adam"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: lbfgs"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: lbfgs"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: sgd"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: sgd"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: sgd"
0.000750938673341677,0.49016724593767635,0.49103082677951315,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: adam"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: adam"
0.000750938673341677,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: adam"
