threshold,median,mean,min,max,description
0.9,0.48755490483162517,0.49583394666610003,0.48604992657856094,0.5246359314872104,"MLPRegressor, hidden layers: (100,), solver: lbfgs"
0.8,0.49109085258468865,0.4957901330183876,0.48755490483162517,0.5297279140073899,"MLPRegressor, hidden layers: (60, 60), solver: lbfgs"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: sgd"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (60, 60), solver: sgd"
0.1,0.03647214854111406,0.03374003375282251,0.015471167369901548,0.04632152588555858,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: sgd"
0.6,0.48997345037708545,0.49075218064132126,0.48717948717948717,0.49604031677465804,"MLPRegressor, hidden layers: (100,), solver: adam"
0.9,0.4805092300127435,0.48794795940120467,0.4648318042813456,0.5211877454831108,"MLPRegressor, hidden layers: (60, 60), solver: adam"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPRegressor, hidden layers: (10, 8, 6, 4), solver: adam"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: lbfgs"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: lbfgs"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: lbfgs"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: sgd"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: sgd"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: sgd"
0.1,0.49016724593767635,0.49103082677951315,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (100,), solver: adam"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (60, 60), solver: adam"
0.1,0.4903525046382189,0.49107714145464876,0.48755490483162517,0.49604031677465804,"MLPClassifier, hidden layers: (10, 8, 6, 4), solver: adam"
